"Fusions"	"DB"	"Jackson"	"Fusion"	"Cosmic"	"ChiTaRS"	"TICdb"	"ConjoinG"	"Count"
"ANKRD22--MSMB"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD26--ANKRD26"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD27--ANKRD27"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKRD27--DHRS11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD27--PEPD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKRD27--ZFP14"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKRD28--ANKRD28"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD28--ATXN3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD28--COLQ"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD28--LMNB1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD28--PHF21A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD28--RFTN1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKRD30A--C15orf33"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKRD30BL--MPO"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"ANKRD30BL--PDE3A"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"8"
"ANKRD32--ANKRD32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD36B--ANKRD36"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD36B--PTPRK"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD37--ANKRD37"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD37--MRPL49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD37--MTERFD2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKRD39--FAM178B"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"6"
"ANKRD40--ELP2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD40--LRRC6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ANKRD42--RHOD"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD44--TMEM131"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD46--ODF1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKRD46--TMEM222"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKRD50--ANKRD50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD52--ATP2B3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD52--CALD1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD52--HIGD2A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD52--LOC101927653"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD52--RPL13A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD52--RPS21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD52--SST"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD6--UBE3C"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKRD6--ZDHHC14"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ANKS1A--KIAA1217"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS1A--MFAP4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS1B--ANO4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS1B--ASB3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS1B--CRY1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS1B--LPIN1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS1B--MED12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS1B--NDUFA12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKS1B--TGFBI"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS1B--UHRF1BP1L"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANKS3--12.Sep"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKS6--SEC62"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANKUB1--ATXN2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANLN--ANLN"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANLN--DGKB"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANLN--EEPD1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ANLN--POU6F2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANO1--ABCC11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANO1--ABHD15"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ANO1--CYP2R1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANO1--FGF19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO1--FGF3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANO1--PLXDC1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ANO1--RSF1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO1--TENM4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO1--UNC5D"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANO10--ANO10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO10--DBN1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO2--ANO2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"ANO2--DYNLRB1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO3--ANO3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO6--ANO6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO6--FAM129A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO6--HNRNPUL1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANO6--IAPP"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"4"
"ANO6--PRKAB2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO7--2.Sep"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO7--HDLBP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO8--ANO8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO9--ANO9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANO9--DEAF1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANP32A--ANKRD12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32A--C1orf87"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32A--HES2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32A--MIR548F1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32B--ANP32B"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32B--GTPBP4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32B--MIR548H3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32B--PTPN11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32B--S100A10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32B--TG"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32E--CTSK"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANP32E--EDEM1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANP32E--FAM13A-AS1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANPEP--ANPEP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANTXR1--APLF"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANTXR1--NCOA3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANTXR2--ANTXR2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ANTXR2--GDEP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANTXR2--IGFBP3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANTXR2--PCAT4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANTXR2--RNF111"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA1--ARPC3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA1--MIR548AE2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA1--U2SURP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA10--FAM198B"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANXA2--ANXA2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2--CREM"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2--EZR"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2--NARG2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2--RNF111"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2--RNF114"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"4"
"ANXA2--RORA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2--SPRR2A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2--SURF1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2--TPM1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA2P2--ANXA2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"ANXA2P3--DZIP1L"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA4--ANXA4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA4--BCAR4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ANXA5--ANXA5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ANXA5--CLASP2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA5--USP48"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA6--ANXA6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA7--ANXA7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA7--DDX50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA7--LGALS12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ANXA7--MALSU1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA8--EPG5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA8L2--IQCA1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA9--MRPL9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ANXA9--RPS6KA3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AOAH--AOAH"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AOAH--ELMO1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AOAH--GUSBP3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AOAH--STAMBPL1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AOX1--ALB"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AP000295.9--C21orf49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1AR--NDST4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1AR--SRSF7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1B1--CLTCL1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1B1--SGSM3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1G1--ABCA6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1G1--CA12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1G1--WDR70"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1G2--HLA-F"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1G2--PTMS"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1M1--CYP4F11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1M1--PRMT5-AS1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1M1--RAB8A"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1M1--ZNF93"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1M2--AP1M2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1M2--DTD1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1S1--AP1S1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1S1--CCDC88C"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1S1--PTOV1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP1S2--AP1S2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1S2--LPCAT1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP1S3--PDSS2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2A1--AP2A2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"AP2A1--DHDH"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"AP2A1--NECAB3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2A1--TOLLIP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2A2--ACVRL1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AP2A2--AP2A1"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"43"
"AP2A2--DRD4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AP2A2--EPS8L2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP2A2--PSMD13"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP2A2--TALDO1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP2A2--TMEM80"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"4"
"AP2A2--TRIM22"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP2B1--ACAP2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2B1--AP2B1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2B1--DDX24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2B1--GAS2L2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP2B1--POLR2A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2B1--TOP2A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2M1--AP2M1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"AP2M1--LOC440434"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2M1--MAP3K13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP2M1--SEC63"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"
"AP2S1--EEF2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP3B1--AP3B1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AP3B1--DCTN4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP3D1--COL19A1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP3D1--HSP90AA1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP3D1--KCTD19"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP3D1--LCP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP3D1--MUM1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"AP3D1--REXO1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP3D1--TOP2B"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP3D1--WIPI2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP3M1--IFFO2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP3S2--ANK2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP4M1--AP4M1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP4M1--TAF6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AP5B1--CFL1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AP5S1--RNF24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBA2--GABRB3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBA2--RP11-536G4.1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBA2--SNRPN"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBB1--UBC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBB1IP--ACTG1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBB1IP--DNAJC1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APBB2--APBB2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBB2--CCNB1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBB2--DMD"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APBB2--NKIRAS1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBB2--NSUN7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APBB2--PACS1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBB3--APBB3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APBB3--RASSF4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"APC--ALDH1L1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APC--APC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APC--KIAA0825"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APC--NREP-AS1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APC--RBMS1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APC--SYTL4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APC2--GIGYF2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APCDD1--TRAPPC8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APCS--APCS"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APEH--APEH"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APEH--TRAK1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APEX1--GBF1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APEX2--APEX2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APH1A--APH1A"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"APH1A--SLAMF1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APH1B--APH1B"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"APH1B--ERP29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"API5--LCMT1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"API5--PLIN3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"APIP--C10orf35"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APIP--S100A13"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"
"APITD1-CORT--APITD1-CORT"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLN--APLN"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP1--B2M"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--AFAP1L1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--APLP2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"APLP2--ARHGAP21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--CD40"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APLP2--EEA1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APLP2--EI24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--EIF2S2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--EIF4G2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--HDHD2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--HMP19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--HNRNPF"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--KCNJ5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"APLP2--MAD1L1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--OPCML"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--PLEKHA5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APLP2--PPM1G"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--PRRC2C"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--SERPING1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APLP2--ZNF652"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOA1--DRAP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOA1BP--ARMC1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOA1BP--DSP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOA2--PFKFB2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"APOA2--PNP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOA2--SND1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOB--ALB"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"APOB--SLBP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOBEC3C--MGRN1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOBEC3F--WDR70"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOBEC3G--HGSNAT"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOC1--IQCE"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APOC1--LAMA1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOC4--DLG3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOD--BAIAP2L1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOD--CLDN7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APOD--TCFL5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOE--APOE"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOE--HMGA1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOE--LUC7L3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOL1--APOL2"	"81"	"0"	"0"	"0"	"0"	"0"	"0"	"81"
"APOL1--IFFO2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOL1--LYPD3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOL2--SNCA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOL2--ULK2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APOL3--APOL4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"APOL3--COL6A3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOL6--FAU"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOLD1--CDKN1B"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOLD1--DLGAP4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOLD1--EEF1A1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOLD1--KMT5A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOO--ACOT9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOO--APOO"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOO--MTERF"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOPT1--MARK3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APOPT1--MOB3A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APP--APP"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"APP--EEA1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APP--FLOT1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APP--LOC101927973"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"APP--MALAT1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APP--PDLIM3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APP--RAB11FIP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APP--RCAN1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"APP--SEC63"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APPBP2--9.Sep"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APPBP2--DNAH17"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APPBP2--SETD2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APPBP2--WISP2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"APPL1--ASB14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"APPL1--NBEAL1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
