"Fusions"	"DB"	"Jackson"	"Fusion"	"Cosmic"	"ChiTaRS"	"TICdb"	"ConjoinG"	"Count"
"ABCA13--BLVRA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA13--VEPH1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA2--ATP2B2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA2--CHMP1A"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA2--HIRA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA2--SYAP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA2--TRIM14"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ABCA3--ABCA3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA4--MMACHC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA5--APOL3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA5--BCAS3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA5--CENPP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA5--MBTD1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCA5--WDR55"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA6--LMNA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA7--ABCA7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA7--ZNF317"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCA8--HMGCS1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCB4--ABCB1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCB6--ABCB6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCB8--ABCB8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCB8--NOS3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"5"
"ABCB9--MPHOSPH9"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC1--ABCC1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC1--FAM105A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC1--LSP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC1--PRKCB"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC10--CUL9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC10--MAN2A2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC10--PGBD5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC10--PPP2R5D"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC3--ABCC3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC3--AC217773.1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC3--BCAN"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC3--DLGAP2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC4--ABCB4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC4--ABCC4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC4--CCDC169"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC4--COL4A2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC4--SCEL"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC5--ATN1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC5--TGFBI"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC5--TSPAN14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC6--C16orf70"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCC6--SEMA4G"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC8--ABCC8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC8--CAPRIN1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCC9--PPAN-P2RY11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCD3--AK5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCD3--ARHGAP29"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABCD3--EXOC4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCD3--GNB2L1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCD4--ACTN4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCD4--PRKCE"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCE1--DDX39B"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCE1--LOC100505666"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCE1--ZNF827"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCF1--ABCF1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCF1--LOC283624"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABCF1--MGAT4A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD12--ENTPD6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABHD12--MEG3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD12--PPP2R2A"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABHD12--RAD21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD12B--KIFC1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD14B--APLP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD14B--CHST5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD14B--COL7A1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD14B--POC1A"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ABHD16A--ABCD4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD17A--ABHD17A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD17B--ABHD17B"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD17C--PTOV1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD2--ABHD2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"ABHD2--BIRC6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABHD2--NFX1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD2--VAPA"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD4--TSPYL2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD6--ABHD6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD6--FLNB"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"4"
"ABHD6--KLHL24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABHD6--LOC100507412"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABI1--BIN2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABI1--CLMN"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABI1--YME1L1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"ABI2--GOLGA4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL1--ADAMTSL2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL1--APBA1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL1--BCR"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"14"
"ABL1--CCBL1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL1--DDX27"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL1--EXOSC2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL1--NRXN2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL1--NTRK2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL1--NUP214"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"5"
"ABL1--RNF220"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABL2--ABL2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ABL2--COPG1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM1--ABLIM1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM1--AMBRA1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM1--MAPRE1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM1--PTCD2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABLIM1--WBP2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM2--PPP2R2C"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABLIM3--ALB"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABLIM3--CDK14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABP1--ABP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABP1--COL4A2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABP1--KIAA1549L"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABR--ABR"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"
"ABR--CRK"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABR--GAS7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABR--KIAA0664"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABR--MAN2B1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABR--PITPNA"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"
"ABR--YWHAE"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"
"ABTB2--APIP"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"
"ABTB2--ATXN3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ABTB2--CIR1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABTB2--LMO2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABTB2--QRICH1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ABTB2--TYR"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AC003682.1--CXCL17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC006465.3--C1GALT1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC006465.3--MRAP"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC008537.4--ITPKC"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC008745.1--EHD2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AC010859.1--COL14A1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC010859.1--OC90"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC011357.1--CCT3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC011443.1--SOX5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC011450.1--GLIS3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC011997.1--LRRC69"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"42"
"AC013461.1--RAPGEF4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC020907.3--LGI4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC020907.3--PMEL"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC022415.5--KEAP1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC040934.1--ARHGAP23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC091153.1--CHRNE"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC093799.1--LRRC23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC103810.1--STXBP4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC110285.1--BAIAP2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"AC110491.1--ARL6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC113191.1--NKAIN3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC135352.1--GATA4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"AC135352.2--GATA4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAA1--ACAA1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAA2--LOC100505989"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACAA2--MYO5B"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACAA2--SMG1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--ACCN1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--C17orf78"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"ACACA--C20orf72"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--ERBB2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
"ACACA--KRT33A"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
